id,1,2,3,4,5,6,7,8,9
147,24.606846,8.603145,11.285846,9.528215,8.048104,9.250694,10.083256,10.083256,8.510638
148,25.384615,7.403846,10.000000,11.826923,9.423077,7.500000,8.269231,9.807692,10.384615
151,24.808576,9.954058,10.719755,9.341501,9.800919,9.111792,8.039816,9.341501,8.882083
152,23.484013,9.702315,9.040794,10.143330,9.702315,8.379272,10.804851,9.922822,8.820287
153,23.653846,7.788462,11.538462,8.846154,9.230769,9.807692,10.576923,9.519231,9.038462
154,22.080679,10.615711,9.554140,9.447983,8.492569,9.447983,9.766454,10.191083,10.403397
155,25.562372,9.202454,8.588957,11.451943,9.406953,8.486708,8.588957,8.179959,10.531697
156,23.404255,9.477756,10.735010,8.607350,9.284333,8.220503,10.638298,10.348162,9.284333
157,24.846356,10.184372,8.252853,9.657594,9.657594,9.218613,9.130817,9.745391,9.306409
158,23.488774,8.721934,9.326425,10.708117,10.708117,9.671848,8.894646,9.153713,9.326425
161,25.947522,9.426628,9.329446,11.175899,8.551992,8.551992,10.204082,8.260447,8.551992
162,21.844660,9.223301,8.932039,8.932039,11.262136,10.388350,10.291262,9.126214,10.000000
163,23.100937,9.989594,8.324662,9.365245,10.301769,9.469303,9.677419,9.677419,10.093652
164,23.919598,10.251256,9.346734,9.648241,9.949749,8.944724,8.643216,9.145729,10.150754
165,25.215517,10.452586,8.189655,9.267241,7.974138,10.344828,10.021552,9.375000,9.159483
166,24.046921,9.188661,8.602151,8.895406,11.436950,8.993157,10.263930,8.993157,9.579668
167,25.752212,8.672566,9.469027,9.911504,9.026549,10.265487,9.380531,9.911504,7.610619
168,24.809160,7.824427,9.923664,9.828244,8.396947,9.923664,8.683206,10.973282,9.637405
171,24.868282,9.694415,8.956797,8.008430,9.694415,9.483667,9.062171,10.748156,9.483667
172,23.123123,7.707708,8.608609,9.509510,11.111111,10.510511,9.009009,8.908909,11.511512
173,27.578947,9.157895,8.842105,9.052632,8.631579,8.842105,8.736842,9.473684,9.684211
174,25.468578,9.040794,9.261301,6.835722,11.135612,8.599779,9.151047,9.922822,10.584344
175,23.699422,9.826590,9.344894,10.886320,7.996146,10.597303,10.404624,7.707129,9.537572
176,23.107178,10.717797,9.341200,9.439528,10.619469,10.816126,9.046214,7.177974,9.734513
177,25.191571,10.344828,10.440613,9.386973,9.578544,8.620690,10.057471,8.333333,8.045977
178,22.383985,10.100091,8.189263,10.282075,8.917197,10.373066,9.463148,9.190173,11.101001
181,22.547914,10.935738,11.612176,9.582864,8.117249,10.033822,9.019166,9.131905,9.019166
182,24.474187,11.089866,9.655832,8.891013,8.604207,8.891013,9.369025,8.891013,10.133843
183,25.438596,8.966862,9.161793,8.869396,9.356725,9.259259,8.869396,10.233918,9.844055
184,22.336066,8.913934,9.426230,8.196721,9.938525,9.118852,9.631148,10.040984,12.397541
185,24.502618,11.413613,9.633508,8.586387,10.366492,8.586387,8.900524,9.005236,9.005236
186,24.184261,11.420345,10.364683,8.349328,10.364683,10.364683,8.061420,7.773512,9.117083
187,23.412698,10.218254,10.218254,9.126984,9.126984,10.019841,9.722222,9.722222,8.432540
188,24.247788,9.292035,9.911504,9.292035,8.672566,10.796460,8.938053,9.557522,9.292035
211,24.816754,9.005236,9.319372,8.795812,11.518325,9.528796,6.910995,10.890052,9.214660
212,22.934233,10.118044,8.516020,8.937605,10.118044,10.961214,8.853288,9.780776,9.780776
213,24.449108,9.968520,9.233998,9.338930,10.283316,9.129066,8.394544,9.863589,9.338930
214,23.854167,10.000000,9.687500,9.166667,9.687500,9.166667,10.312500,9.479167,8.645833
215,22.921109,8.635394,9.914712,8.848614,10.874200,8.742004,10.021322,10.021322,10.021322
216,22.188139,10.327198,9.406953,7.566462,8.691207,9.202454,9.713701,10.940695,11.963190
217,25.980392,10.980392,8.529412,8.529412,9.117647,9.313725,9.313725,9.705882,8.529412
218,22.732240,7.868852,10.273224,9.945355,7.540984,10.273224,8.852459,10.601093,11.912568
221,23.202372,9.562639,10.303929,9.562639,9.636768,9.191994,8.747220,9.710897,10.081542
222,23.904503,9.217286,9.253551,9.410698,9.489272,9.809610,9.525536,9.561801,9.827743
223,23.964289,9.278764,9.559635,9.639884,9.419200,9.760257,9.148360,9.148360,10.081252
224,22.722723,10.710711,9.109109,10.210210,9.609610,9.609610,10.410410,8.908909,8.708709
225,23.301887,11.886792,8.018868,9.150943,9.905660,9.716981,8.113208,10.471698,9.433962
226,23.324702,9.559814,9.466598,10.139824,9.601243,9.135163,9.653030,9.290523,9.829104
227,23.195876,11.443299,9.381443,9.175258,9.381443,9.278351,8.762887,9.381443,10.000000
228,24.039067,9.483302,9.619828,9.021214,10.050410,9.451796,9.189246,9.672338,9.472800
231,22.468660,9.353905,10.318226,9.836066,10.318226,8.968177,7.907425,10.125362,10.703954
232,23.566379,11.233307,10.604870,8.719560,9.583661,8.483896,10.290652,8.798115,8.719560
233,23.926636,9.712380,9.368487,9.618591,9.785327,9.212172,10.025010,8.982910,9.368487
234,24.299910,9.214092,10.930443,9.665763,8.672087,10.840108,8.401084,8.762421,9.214092
235,25.024728,9.396637,9.297725,8.110781,10.484669,8.902077,9.693373,8.011869,11.078140
236,23.890463,10.292729,9.537299,9.915014,8.498584,8.026440,11.709160,9.159585,8.970727
237,22.787194,10.357815,7.815443,9.792844,9.604520,10.922787,10.169492,8.945386,9.604520
