lesson,l1_id,l1_en,l2_id,l2_en,l3_id,l3_en,count
321,641538,Meditation,783324,Flyer Distribution,636553,Running,1473
322,641538,Meditation,783324,Flyer Distribution,783324,Flyer Distribution,1494
323,641538,Meditation,783324,Flyer Distribution,641538,Meditation,1560
324,641538,Meditation,783324,Flyer Distribution,435023,Dance,1438
325,641538,Meditation,783324,Flyer Distribution,572712,Voice Training,1566
326,641538,Meditation,783324,Flyer Distribution,387018,Push-ups,1514
327,641538,Meditation,783324,Flyer Distribution,678291,Stretching,1482
328,641538,Meditation,783324,Flyer Distribution,166110,Swimming,1557
331,641538,Meditation,641538,Meditation,636553,Running,1623
332,641538,Meditation,641538,Meditation,783324,Flyer Distribution,1539
333,641538,Meditation,641538,Meditation,641538,Meditation,21016
334,641538,Meditation,641538,Meditation,435023,Dance,1641
335,641538,Meditation,641538,Meditation,572712,Voice Training,1692
336,641538,Meditation,641538,Meditation,387018,Push-ups,1679
337,641538,Meditation,641538,Meditation,678291,Stretching,1616
338,641538,Meditation,641538,Meditation,166110,Swimming,1596
341,641538,Meditation,435023,Dance,636553,Running,1518
342,641538,Meditation,435023,Dance,783324,Flyer Distribution,1629
343,641538,Meditation,435023,Dance,641538,Meditation,1455
344,641538,Meditation,435023,Dance,435023,Dance,1540
345,641538,Meditation,435023,Dance,572712,Voice Training,1642
346,641538,Meditation,435023,Dance,387018,Push-ups,1733
347,641538,Meditation,435023,Dance,678291,Stretching,1666
348,641538,Meditation,435023,Dance,166110,Swimming,1661
351,641538,Meditation,572712,Voice Training,636553,Running,1611
352,641538,Meditation,572712,Voice Training,783324,Flyer Distribution,1580
353,641538,Meditation,572712,Voice Training,641538,Meditation,1666
354,641538,Meditation,572712,Voice Training,435023,Dance,1371
355,641538,Meditation,572712,Voice Training,572712,Voice Training,11572
356,641538,Meditation,572712,Voice Training,387018,Push-ups,1770
357,641538,Meditation,572712,Voice Training,678291,Stretching,1865
358,641538,Meditation,572712,Voice Training,166110,Swimming,1634
361,641538,Meditation,387018,Push-ups,636553,Running,1603
362,641538,Meditation,387018,Push-ups,783324,Flyer Distribution,1440
363,641538,Meditation,387018,Push-ups,641538,Meditation,1680
364,641538,Meditation,387018,Push-ups,435023,Dance,1608
365,641538,Meditation,387018,Push-ups,572712,Voice Training,1473
366,641538,Meditation,387018,Push-ups,387018,Push-ups,11495
367,641538,Meditation,387018,Push-ups,678291,Stretching,1741
368,641538,Meditation,387018,Push-ups,166110,Swimming,1673
371,641538,Meditation,678291,Stretching,636553,Running,1566
372,641538,Meditation,678291,Stretching,783324,Flyer Distribution,1482
373,641538,Meditation,678291,Stretching,641538,Meditation,1503
374,641538,Meditation,678291,Stretching,435023,Dance,1566
375,641538,Meditation,678291,Stretching,572712,Voice Training,1623
376,641538,Meditation,678291,Stretching,387018,Push-ups,1524
377,641538,Meditation,678291,Stretching,678291,Stretching,1667
378,641538,Meditation,678291,Stretching,166110,Swimming,1752
381,641538,Meditation,166110,Swimming,636553,Running,1587
382,641538,Meditation,166110,Swimming,783324,Flyer Distribution,1605
383,641538,Meditation,166110,Swimming,641538,Meditation,1542
384,641538,Meditation,166110,Swimming,435023,Dance,1623
385,641538,Meditation,166110,Swimming,572712,Voice Training,1521
386,641538,Meditation,166110,Swimming,387018,Push-ups,1574
387,641538,Meditation,166110,Swimming,678291,Stretching,1501
388,641538,Meditation,166110,Swimming,166110,Swimming,1595
411,435023,Dance,636553,Running,636553,Running,1594
412,435023,Dance,636553,Running,783324,Flyer Distribution,1618
413,435023,Dance,636553,Running,641538,Meditation,1565
414,435023,Dance,636553,Running,435023,Dance,1662
415,435023,Dance,636553,Running,572712,Voice Training,1577
416,435023,Dance,636553,Running,387018,Push-ups,1532
417,435023,Dance,636553,Running,678291,Stretching,1669
418,435023,Dance,636553,Running,166110,Swimming,1614
421,435023,Dance,783324,Flyer Distribution,636553,Running,1592
422,435023,Dance,783324,Flyer Distribution,783324,Flyer Distribution,1642
423,435023,Dance,783324,Flyer Distribution,641538,Meditation,1479
